SN 2008hv 1834.82   17.601 012 16.028 006 15.683 008 16.211 008 16.496 006 15.702 006
SN 2008hv 1837.80   17.969 014 16.347 004 15.729 004 16.110 006 16.847 007 15.894 006
SN 2008hv 1838.79   18.070 016 16.449 007 15.742 008 16.054 010 16.956 008 15.945 007
SN 2008hv 1839.75   18.196 017 16.572 007 15.798 006 16.053 008 17.071 007 16.043 007
SN 2008hv 1840.73   18.302 022 16.694 008 15.859 007 16.050 008 17.165 010 16.122 007
SN 2008hv 1841.73   18.424 029 16.800 008 15.924 008 16.076 008 17.293 012 16.203 008
SN 2008hv 1842.85   18.497 049 16.906 010 16.014 007 16.131 008 17.387 016 16.303 008
SN 2008hv 1842.85   18.498 049 16.906 010 16.014 007 16.131 008 17.387 016 16.303 008
SN 2008hv 1844.77   18.563 034 17.063 010 16.162 008 16.265 008 17.526 017 16.458 008
SN 2008hv 1856.75   19.094 026 17.574 010 16.826 010 17.050 012 18.036 010 17.047 010
SN 2008hv 1867.70   19.363 035 17.819 008 17.239 008 17.520 014 18.272 010 17.355 010
SN 2008hv 1870.67   19.409 072 17.912 014 17.353 010 17.656 014 18.316 021 17.462 012
SN 2008hv 1870.67                                                          17.476 010
SN 2008hv 1874.63   19.446 064 17.942 012 17.466 008 17.816 014 18.381 017 17.579 012
SN 2008hv 1878.64   19.587 033 18.010 010 17.601 014 17.966 021 18.454 012 17.670 010
SN 2008hv 1884.66   19.739 033 18.104 014 17.783 017 18.152 024 18.548 010 17.804 010
SN 2008hv 1895.62 a 19.897 052 18.307 006 18.180 010 18.570 017 18.707 010 18.127 008
SN 2006et  983.63              16.862 010 16.838 014
SN 2006et  986.70   16.960 021 16.318 007 16.305 008 16.537 010 16.421 008 16.309 008
SN 2006et  988.57                         16.109 006 16.358 008 16.236 008 16.124 007
SN 2006et  991.65   16.626 018 15.935 005 15.912 007 16.312 008 16.052 008 15.920 006
SN 2006et  991.65                                               16.053 007
SN 2006et  994.72   16.664 014 15.906 006 15.821 007 16.375 007 16.035 007 15.878 006
SN 2006et  998.68   17.010 014 16.016 005 15.838 004 16.475 006 16.173 006 15.908 005
SN 2006et 1001.62   17.257 016 16.123 006 15.928 006 16.566 010 16.338 008 16.010 010
SN 2006et 1003.63   17.432 017 16.232 006 16.010 006 16.690 008 16.465 008 16.074 007
SN 2006et 1007.66   17.989 021 16.508 008 16.280 008 16.963 010 16.805 008 16.288 008
SN 2006et 1008.63   18.069 020 16.603 008                       16.898 008
SN 2006et 1012.52   18.714 052 16.918 008 16.468 006 17.015 008 17.291 012 16.591 012
SN 2006et 1012.52                                                          16.582 008
SN 2006et 1013.61   18.778 067 17.026 008 16.495 006 17.006 010 17.414 012 16.641 008
SN 2006et 1017.77   19.080 110 17.363 022 16.549 016 16.900 016 17.812 021 16.813 014
SN 2006et 1023.72 a 19.765 033 17.913 012 16.783 010 16.968 014 18.328 010 17.253 014
SN 2006et 1024.61 a 19.881 028 17.912 006 16.718 006 16.859 006 18.371 008 17.213 004
SN 2006et 1025.67   19.948 074                                  18.448 014 17.277 008
SN 2006et 1029.68   20.161 070 18.240 010 17.017 007 17.060 008 18.712 014 17.532 008
SN 2006et 1033.69              18.443 020 17.279 010 17.327 012
SN 2006et 1039.66   20.285 113 18.642 014 17.538 008 17.671 014 19.065 024 18.001 014
SN 2006et 1044.62              18.682 047 17.675 017 17.747 022 19.073 075 18.126 033
SN 2006et 1046.56   20.363 149 18.795 016 17.761 010 17.949 012 19.202 025 18.158 014
SN 2006et 1052.60   20.879 145 18.875 014 17.949 012 18.160 017 19.306 021 18.311 014
SN 2006et 1060.54   20.924 112 18.976 014 18.166 012 18.476 020 19.395 024 18.487 014
SN 2006et 1066.60   21.068 140 19.080 016 18.353 012 18.643 017 19.479 025 18.639 017
SN 2006et 1076.55   21.509 317 19.196 016 18.620 014 19.016 021            18.852 020
SN 2006et 1091.55              19.422 017 19.050 017 19.454 035 19.734 030 19.190 022
SN 2006et 1099.54              19.557 041                       20.059 129
SN 2006kf 1036.80   17.621 017 16.943 007 16.769 007 16.880 007 17.070 007 16.931 007
SN 2006kf 1038.77   17.486 014 16.751 006 16.596 007 16.788 008 16.901 007 16.734 007
SN 2006kf 1039.75   17.485 014 16.708 007 16.555 006 16.811 008 16.839 007 16.685 007
SN 2006kf 1042.72   17.595 020 16.679 007 16.499 007 16.920 008 16.825 008 16.624 008
SN 2006kf 1048.76   18.359 035 17.011 007 16.751 006 17.323 008 17.262 008 16.796 007
SN 2006kf 1052.77   19.041 043 17.403 007 17.020 008 17.564 008 17.819 008 17.080 007
SN 2006kf 1056.70   19.758 083 17.903 008 17.154 006 17.444 008 18.412 010 17.413 008
SN 2006kf 1060.67   20.257 079 18.417 008 17.294 008 17.394 010 18.914 014 17.721 008
SN 2006kf 1065.70   20.805 117 18.921 012 17.689 010 17.574 012 19.416 022 18.175 012
SN 2006kf 1068.70   20.870 126 19.157 016 17.966 010 17.861 012 19.602 079 18.401 017
SN 2006kf 1068.70                                               19.603 025
SN 2006kf 1069.70   20.878 158 19.234 025 18.046 012 17.964 012 19.619 035 18.491 017
SN 2006kf 1075.69              19.444 044 18.360 014 18.338 020 19.770 091 18.775 033
SN 2006kf 1080.70   21.315 248 19.548 029 18.582 016 18.624 021 20.115 053 18.919 022
SN 2006kf 1084.64   21.483 288 19.711 018 18.741 014 18.774 018 20.155 038 19.019 017
SN 2006kf 1087.66              19.782 017 18.841 012 18.938 020 20.233 037 19.133 017
SN 2006kf 1091.67              19.869 025 18.992 017 19.117 024 20.194 040 19.248 021
SN 2006kf 1096.62              20.006 048 19.146 025 19.365 035 20.311 071 19.378 032
SN 2006kf 1102.63              20.154 105 19.403 071 19.480 085 20.223 149 19.553 098
SN 2006kf 1119.60              20.365 021 19.945 025 20.242 050 20.868 049 19.982 028
SN 2006kf 1123.66              20.461 021 20.090 040
SN 2006kf 1127.63                         20.378 067 20.439 110 21.136 175 20.254 059
SN 2007S  1133.83   17.380 035 16.627 010 16.327 010 16.425 012 16.829 014 16.468 010
SN 2007S  1137.79   16.728 010 15.991 006 15.726 006 15.832 006 16.178 006 15.860 006
SN 2007S  1143.75   16.548 012 15.694 008 15.364 012 15.756 016 15.895 008 15.545 010
SN 2007S  1147.72              15.740 005 15.334 004 15.866 007
SN 2007S  1153.76                                               16.269 004 15.680 007
SN 2007S  1153.76                                                          15.688 007
SN 2007S  1154.64   17.447 012 16.007 007 15.581 007 16.184 008 16.339 007 15.725 007
SN 2007S  1158.69   17.984 017 16.285 007 15.846 008 16.461 010 16.676 008 15.957 007
SN 2007S  1160.66   18.288 029 16.442 006 15.945 005 16.510 007 16.870 008 16.082 007
SN 2007S  1161.66   18.353 041 16.513 007 15.980 006 16.491 010 16.985 010 16.128 007
SN 2007S  1165.71   18.824 069 16.837 008 16.052 008 16.441 008 17.375 012 16.328 008
SN 2007S  1166.65   18.969 063 16.908 010 16.063 005 16.428 008 17.450 036 16.369 008
SN 2007S  1169.68   19.273 035 17.152 008 16.107 007 16.371 008 17.707 010 16.516 008
SN 2007S  1174.73   19.794 096 17.512 007 16.200 006 16.311 006 18.071 012 16.745 006
SN 2007S  1185.67   20.099 101 18.160 010 16.820 008 16.807 008 18.686 017 17.380 008
SN 2007S  1194.61   20.391 235 18.377 014 17.183 008 17.243 010 18.858 032 17.676 014
SN 2007S  1199.59   20.309 100 18.474 012 17.342 012 17.463 014 18.931 018 17.798 016
